got 13 samples| raw_EDA=8.3535 μS | HR=92.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.3473 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3590 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3531 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3476 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3577 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3618 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3615 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3597 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3639 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3688 μS | HR=92.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.3771 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3788 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3837 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3792 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3854 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3896 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3948 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4173 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4690 μS | HR=92.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.5186 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.5591 μS | HR=92.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.5810 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6053 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6202 μS | HR=92.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.6282 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6559 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6743 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6850 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6996 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7142 μS | HR=91.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.7291 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7339 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7377 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7377 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7416 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7551 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7558 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7634 μS | HR=91.8 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7693 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7735 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7842 μS | HR=91.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.7984 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7981 μS | HR=91.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8061 μS | HR=91.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.8140 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8258 μS | HR=91.9 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.8293 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8404 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8466 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8508 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8647 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8622 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8702 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8778 μS | HR=91.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8823 μS | HR=92.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.8879 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8945 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.8986 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9025 μS | HR=92.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.9084 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9240 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9323 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9465 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9496 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9524 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9590 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9670 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9680 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.9826 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0023 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0107 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0148 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0235 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0238 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0252 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0270 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0419 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0488 μS | HR=92.6 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.0568 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0599 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0682 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0779 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0790 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0804 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0863 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0946 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.0970 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1022 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1098 μS | HR=92.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1140 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1206 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1216 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1202 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1286 μS | HR=93.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=9.1275 μS | HR=93.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=9.1324 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1411 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1386 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1386 μS | HR=93.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=9.1438 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1480 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1494 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1511 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1511 μS | HR=93.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=9.1580 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1601 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1584 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1615 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1664 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1740 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1747 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1775 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1816 μS | HR=93.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1844 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1827 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.2010 μS | HR=93.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1879 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.1927 μS | HR=93.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1983 μS | HR=93.3 BPM | RMSSD=— ms
got 15 samples| raw_EDA=9.1983 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.1990 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.2007 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.2021 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.2069 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.2042 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.2121 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.2080 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.2094 μS | HR=93.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.2128 μS | HR=93.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=9.2108 μS | HR=93.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.2056 μS | HR=93.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=9.2066 μS | HR=93.0 BPM | RMSSD=— ms
