got 13 samples| raw_EDA=20.9115 μS | HR=92.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9087 μS | HR=92.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8990 μS | HR=92.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=20.8921 μS | HR=92.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8879 μS | HR=92.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8907 μS | HR=92.3 BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.8796 μS | HR=92.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8851 μS | HR=92.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8685 μS | HR=92.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=20.8712 μS | HR=92.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8685 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8615 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8602 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8588 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8532 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8518 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8546 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8657 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8504 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8463 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8504 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8532 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8491 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8491 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8463 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8463 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8407 μS | HR=92.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.8338 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8366 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8380 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8435 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8463 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8463 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8407 μS | HR=92.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.8407 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8352 μS | HR=92.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=20.8518 μS | HR=92.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.8310 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8369 μS | HR=92.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.8407 μS | HR=92.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8435 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8338 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8407 μS | HR=92.6 BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.8380 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8407 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8380 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8393 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8407 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8421 μS | HR=92.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8477 μS | HR=92.6 BPM | RMSSD=— ms
got 12 samples| raw_EDA=20.8449 μS | HR=93.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.8546 μS | HR=93.0 BPM | RMSSD=— ms
