got 13 samples| raw_EDA=3.4003 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3951 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3951 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4006 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3937 μS | HR=83.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=83.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3944 μS | HR=83.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3944 μS | HR=83.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3944 μS | HR=83.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3958 μS | HR=83.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3954 μS | HR=83.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3985 μS | HR=83.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3944 μS | HR=83.0 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3979 μS | HR=83.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3999 μS | HR=84.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3930 μS | HR=84.1 BPM | RMSSD=— ms
got 16 samples| raw_EDA=3.3937 μS | HR=84.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4020 μS | HR=84.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4017 μS | HR=84.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3992 μS | HR=84.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4055 μS | HR=84.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4027 μS | HR=84.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4062 μS | HR=84.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4103 μS | HR=84.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4096 μS | HR=82.6 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4124 μS | HR=82.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4114 μS | HR=82.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4083 μS | HR=82.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4124 μS | HR=82.6 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4096 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=81.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4100 μS | HR=81.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4086 μS | HR=81.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4041 μS | HR=81.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.4076 μS | HR=81.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4027 μS | HR=81.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4062 μS | HR=81.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4041 μS | HR=81.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4041 μS | HR=81.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4013 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3996 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3982 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.4020 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3992 μS | HR=79.9 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3930 μS | HR=79.9 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3944 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3965 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3944 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3958 μS | HR=79.9 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3965 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3895 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3958 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3933 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3902 μS | HR=79.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3923 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3937 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3881 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3892 μS | HR=88.4 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3930 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3895 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3916 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3913 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3885 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3902 μS | HR=88.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3923 μS | HR=88.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3920 μS | HR=88.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3930 μS | HR=88.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3895 μS | HR=88.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3861 μS | HR=88.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3899 μS | HR=88.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3868 μS | HR=88.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3881 μS | HR=88.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3930 μS | HR=88.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3861 μS | HR=88.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3861 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3875 μS | HR=88.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3840 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3840 μS | HR=88.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3868 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3788 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3875 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3826 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3833 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3857 μS | HR=88.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3875 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3819 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3857 μS | HR=88.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3875 μS | HR=88.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3840 μS | HR=88.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3868 μS | HR=88.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3947 μS | HR=88.9 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3902 μS | HR=88.9 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3850 μS | HR=88.9 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3930 μS | HR=88.9 BPM | RMSSD=— ms
got 12 samples| raw_EDA=3.3906 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3861 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3916 μS | HR=89.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=3.3861 μS | HR=89.2 BPM | RMSSD=— ms
got 15 samples| raw_EDA=3.3902 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=3.3861 μS | HR=89.2 BPM | RMSSD=— ms
